,0
arith mean,0.00551303199109945
arith mean (ann),0.0661563838931934
geomean mean,0.004485752333251325
geomean mean (ann),0.055177137833378964
sigma,0.045418001671494096
sigma (ann),0.15733257294655192
avg drawdown,0.13164276991316867
max drawdown,0.6500769816492762
alpha,0.007510132557887654
alpha SE,0.0017304451448499026
alpha (ann),0.09012159069465184
alpha SE (ann),0.02076534173819883
beta,-0.34341703518519656
betaSE,0.037306032048714424
Sharpe ratio,0.12138429231155758
Sharpe ratio (ann),0.4204875230488199
information ratio,0.16535585630138527
information ratio (ann),0.5728094888861152
