,0
arith mean,0.005323401141189206
arith mean (ann),0.06388081369427048
geomean mean,0.004358126286265307
geomean mean (ann),0.05356946123719131
sigma,0.04470021275401467
sigma (ann),0.15484607919818347
avg drawdown,0.07782544504064051
max drawdown,0.791918462304228
alpha,0.0002970304541080847
alpha SE,0.0006104886150042594
alpha (ann),0.003564365449297016
alpha SE (ann),0.007325863380051112
beta,0.7411003622073168
betaSE,0.01133473577820878
Sharpe ratio,0.11909118129893227
Sharpe ratio (ann),0.4125439534862946
information ratio,0.006644944974706131
information ratio (ann),0.023018764619381016
