date,mkt_rf,smb,hml,rf,mkt_index,rf_index,mkt_rf_index
19260701,0.0296,-0.0256,-0.0243,0.0022,1.0318,1.0022,1.0296
19260801,0.0264,-0.0117,0.0382,0.0025,1.06161902,1.0047055,1.05678144
19260901,0.0036,-0.014,0.0013,0.0023,1.067882572,1.007016323,1.060585853
19261001,-0.0324,-0.0009,0.007,0.0032,1.036700401,1.010238775,1.026222872
19261101,0.0253,-0.001,-0.0051,0.0031,1.066142693,1.013370515,1.05218631
19261201,0.0262,-0.0003,-0.0005,0.0028,1.097060831,1.016207953,1.079753592
19270101,-0.0006,-0.0037,0.0454,0.0025,1.099145246,1.018748472,1.079105739
19270201,0.0418,0.0004,0.0294,0.0026,1.147947295,1.021397218,1.124212359
19270301,0.0013,-0.0165,-0.0261,0.003,1.152883468,1.02446141,1.125673835
19270401,0.0046,0.003,0.0081,0.0025,1.161068941,1.027022564,1.130851935
19270501,0.0544,0.0153,0.0473,0.003,1.227714298,1.030103631,1.19237028
19270601,-0.0234,0.0059,-0.0173,0.0026,1.202177841,1.032781901,1.164468816
19270701,0.0726,-0.0325,-0.0114,0.003,1.293062486,1.035880246,1.249009252
19270801,0.0197,-0.0069,-0.0374,0.0028,1.322156392,1.038780711,1.273614734
19270901,0.0476,-0.0363,-0.0063,0.0021,1.387867564,1.040962151,1.334238795
19271001,-0.0431,0.0212,-0.0433,0.0025,1.331520141,1.043564556,1.276733103
19271101,0.0658,0.0272,-0.0027,0.0021,1.421930359,1.045756042,1.360742141
19271201,0.0209,0.0097,-0.0113,0.0022,1.45477695,1.048056705,1.389181652
19280101,-0.0068,0.0426,-0.0075,0.0025,1.448521409,1.050676847,1.379735217
19280201,-0.017,-0.0206,-0.0065,0.0033,1.428676666,1.05414408,1.356279718
19280301,0.0881,-0.0026,-0.0122,0.0029,1.558686242,1.057201098,1.475767961
19280401,0.0423,0.0398,0.0344,0.0022,1.62804778,1.05952694,1.538192946
19280501,0.0152,0.0285,-0.0327,0.0032,1.658003859,1.062917427,1.561573479
19280601,-0.0485,-0.0352,-0.0003,0.0031,1.582730484,1.066212471,1.485837165
19280701,0.0062,-0.0132,-0.005,0.0032,1.597608151,1.069624351,1.495049356
19280801,0.0668,-0.0206,-0.0215,0.0032,1.709440721,1.073047149,1.594918653
19280901,0.0288,0.0241,0.0086,0.0027,1.763288104,1.075944376,1.64085231
19281001,0.0133,0.0222,-0.0216,0.0041,1.793969317,1.080355748,1.662675646
19281101,0.1181,-0.0178,0.027,0.0038,2.012654177,1.0844611,1.859037639
19281201,0.0036,-0.0086,-0.0065,0.0006,2.021107324,1.085111776,1.865730175
19290101,0.0466,-0.0356,-0.0124,0.0034,2.12216269,1.088801156,1.952673201
19290201,-0.0034,-0.0038,0.0166,0.0036,2.122587123,1.09272084,1.946034112
19290301,-0.0089,-0.0471,0.0158,0.0034,2.110912894,1.096436091,1.928714408
19290401,0.0143,-0.0097,0.0059,0.0036,2.148698235,1.100383261,1.956295024
19290501,-0.0639,-0.0537,-0.0142,0.0044,2.02085069,1.105224948,1.831287772
19290601,0.097,-0.0217,-0.0279,0.0052,2.22738163,1.110972117,2.008922686
19290701,0.0446,-0.0388,0.0271,0.0033,2.33407321,1.114638325,2.098520638
19290801,0.0818,-0.0959,0.0013,0.004,2.534336692,1.119096879,2.270179626
19290901,-0.0547,0.0119,-0.0065,0.0035,2.404578653,1.123013718,2.146000801
19291001,-0.2012,-0.0401,0.0778,0.0046,1.93183849,1.128179581,1.71422544
19291101,-0.1274,-0.0172,0.0505,0.0037,1.692870069,1.132353845,1.495833119
19291201,0.0133,-0.045,-0.0054,0.0037,1.72164886,1.136543554,1.515727699
19300101,0.0561,0.0355,-0.0096,0.0014,1.820643669,1.138134715,1.600760023
19300201,0.025,0.0019,0.002,0.003,1.871621692,1.14154912,1.640779024
19300301,0.071,0.0341,0.0033,0.0035,2.011057508,1.145544542,1.757274334
19300401,-0.0206,-0.0035,-0.0035,0.0021,1.973852944,1.147950185,1.721074483
19300501,-0.0166,-0.0201,-0.0073,0.0026,1.946219003,1.150934856,1.692504647
19300601,-0.1627,-0.0338,0.0233,0.0027,1.634823962,1.15404238,1.417134141
19300701,0.0412,-0.0028,-0.0175,0.002,1.705448358,1.156350464,1.475520067
19300801,0.003,-0.021,-0.0061,0.0009,1.712099606,1.15739118,1.479946627
19300901,-0.1275,-0.0221,-0.0496,0.0022,1.497573526,1.15993744,1.291253432
19301001,-0.0878,-0.0012,-0.0138,0.0009,1.367434386,1.160981384,1.177881381
19301101,-0.0304,0.0223,-0.0366,0.0013,1.327642046,1.16249066,1.142073787
19301201,-0.0783,-0.046,-0.0525,0.0014,1.225546372,1.164118147,1.05264941
19310101,0.0624,0.0345,0.0712,0.0015,1.303858785,1.165864324,1.118334733
19310201,0.1088,0.0359,0.0192,0.0004,1.446240165,1.16633067,1.240009552
19310301,-0.0643,0.0298,-0.0344,0.0013,1.355127034,1.1678469,1.160276937
19310401,-0.0998,-0.0445,-0.0382,0.0008,1.220969458,1.168781177,1.044481299
19310501,-0.1324,0.0535,-0.0657,0.0009,1.060411974,1.16983308,0.906191975
19310601,0.139,-0.0532,0.1129,0.0008,1.208657568,1.170768947,1.03215266
19310701,-0.0662,0.0142,-0.0211,0.0006,1.129369632,1.171471408,0.963824154
19310801,0.0041,-0.0195,-0.0147,0.0003,1.134338858,1.17182285,0.967775833
19310901,-0.2913,0.0054,-0.0677,0.0003,0.80424625,1.172174396,0.685862733
19311001,0.0804,-0.0187,0.017,0.001,0.869711895,1.173346571,0.741006096
19311101,-0.0908,0.0431,-0.0504,0.0017,0.792220565,1.17534126,0.673722743
19311201,-0.1353,-0.0055,-0.0885,0.0012,0.685983788,1.176751669,0.582568056
19320101,-0.0158,0.0393,0.0903,0.0023,0.676723006,1.179458198,0.57336348
19320201,0.0546,-0.0278,-0.0146,0.0023,0.715228546,1.182170952,0.604669126
19320301,-0.1121,0.0227,-0.0232,0.0016,0.636195791,1.184062426,0.536885717
19320401,-0.1796,0.0145,0.0143,0.0011,0.522634842,1.185364894,0.440461042
19320501,-0.2051,0.0391,-0.0298,0.0006,0.415756017,1.186076113,0.350122483
19320601,-0.007,0.0033,0.053,0.0002,0.412928876,1.186313328,0.347671625
19320701,0.3384,-0.0459,0.3561,0.0003,0.552787887,1.186669222,0.465323703
19320801,0.3706,0.1341,0.3424,0.0003,0.757816914,1.187025223,0.637772668
19320901,-0.0294,-0.0208,-0.0736,0.0003,0.735764442,1.187381331,0.619022151
19321001,-0.1317,-0.0256,-0.1033,0.0002,0.639011418,1.187618807,0.537496934
19321101,-0.0588,0.02,-0.1311,0.0002,0.601565349,1.187856331,0.505892114
19321201,0.044,-0.0864,-0.0772,0.0001,0.62809438,1.187975116,0.528151367
19330101,0.0125,0.0063,0.0636,0.0001,0.63600837,1.188093914,0.534753259
19330201,-0.1524,-0.0258,-0.0295,-0.0003,0.538889892,1.187737486,0.453256863
19330301,0.0329,0.0379,0.0754,0.0004,0.556834925,1.188212581,0.468169013
19330401,0.3885,0.0307,0.1965,0.001,0.773722128,1.189400793,0.650052675
19330501,0.2143,0.3656,0.1919,0.0004,0.939840269,1.189876554,0.789358963
19330601,0.1311,0.0842,-0.0178,0.0002,1.063241296,1.190114529,0.892843924
19330701,-0.0963,-0.0105,0.0327,0.0002,0.961063808,1.190352552,0.806863054
19330801,0.1205,-0.0539,0.03,0.0003,1.077160316,1.190709658,0.904090052
19330901,-0.1065,-0.004,-0.1174,0.0002,0.962658174,1.1909478,0.807804461
19331001,-0.0836,-0.002,-0.0857,0.0001,0.882276217,1.191066894,0.740272008
