date,Index,D12,E12,b/m,tbl,AAA,BAA,lty,ntis,rf,infl,ltr,corpr,svar,csp,mkt_rf,mkt_rf_index
19260101,12.74,0.6075,1.249,0.387670798,0.0349,0.0482,0.0609,0.0374,NaN,0.002925,0,0.0138,0.0072,0.000857428,NaN,,
19260201,12.18,0.615,1.248,0.394362555,0.0318,0.0477,0.0602,0.0372,NaN,0.002908,0,0.0063,0.0045,0.001098596,NaN,,
19260301,11.46,0.6225,1.248,0.494090844,0.0314,0.0479,0.0605,0.0371,NaN,0.00265,-0.005586592,0.0041,0.0084,0.0060156,NaN,,
19260401,11.72,0.63,1.247,0.482916986,0.0308,0.0474,0.0598,0.0368,NaN,0.002617,0.005617978,0.0076,0.0097,0.001465915,NaN,,
19260501,11.81,0.6375,1.246,0.483859723,0.0317,0.0471,0.0586,0.0369,NaN,0.002567,-0.005586592,0.0014,0.0044,0.000690357,NaN,,
19260601,12.32,0.645,1.245,0.453476215,0.0293,0.0472,0.058,0.0368,NaN,0.002642,-0.005617978,0.0038,0.0004,0.000601689,NaN,,
19260701,12.88,0.6525,1.244,0.43326258,0.0311,0.0471,0.0579,0.037,NaN,0.0022,-0.011299435,0.0004,0.0057,0.000642888,NaN,0.0296,1.0296
19260801,13.1,0.66,1.243,0.427050643,0.0327,0.0472,0.0581,0.0373,NaN,0.0025,-0.005714286,0,0.0044,0.001208628,NaN,0.0264,1.05678144
19260901,13.4,0.6675,1.242,0.43871294,0.0342,0.0472,0.0579,0.0372,NaN,0.0023,0.005747126,0.0038,0.0057,0.000740769,NaN,0.0036,1.060585853
19261001,12.98,0.675,1.242,0.460334306,0.0358,0.0471,0.0581,0.0367,NaN,0.0032,0.005714286,0.0102,0.0097,0.002161148,NaN,-0.0324,1.026222872
19261101,13.27,0.6825,1.241,0.443308847,0.0335,0.0468,0.0577,0.0358,NaN,0.0031,0.005681818,0.016,0.0057,0.000538589,NaN,0.0253,1.05218631
19261201,13.49,0.69,1.24,0.441475827,0.0307,0.0468,0.0568,0.0354,0.050876177,0.0028,0,0.0078,0.0056,0.000464618,NaN,0.0262,1.079753592
