,datetime,nav,cash_position,margin_requirement
0,1970-06-30,99.96666666666667,99.96666666666667,8.333333333333329
0,1970-07-31,100.78980378872372,99.93305886280247,16.99268127566996
0,1970-08-31,100.22444421392221,99.89963957496855,26.609565179718402
0,1970-09-30,96.8714276596237,99.86733833200101,36.39315936666039
0,1970-10-30,99.57058421551369,99.83413707017523,42.345655591680675
0,1970-11-30,100.92862720120587,99.80048297641024,51.876572281653985
0,1970-12-31,101.28006938557556,99.76671169618831,63.180483248750605
0,1971-01-29,98.92798995254309,99.73372470387336,77.46471518841344
0,1971-02-26,99.07602211398572,99.7006883510511,89.37635835609484
0,1971-03-31,97.30467826833893,99.66824264305899,101.8846780175445
0,1971-04-30,97.95889961725211,99.63557878856841,113.47964445654026
0,1971-05-28,99.55916784247879,99.60238133346921,117.01193115085874
0,1971-06-30,104.09874291196016,100.80837665303399,116.48455343343599
0,1971-07-30,105.81936673521558,100.33450543384711,107.8529651703427
0,1971-08-31,107.95692751196744,101.1212764344892,108.97778137593623
0,1971-09-30,111.24210010891501,102.61726921332951,109.03415688980684
0,1971-10-29,110.46516599667163,104.57162940716499,103.91658299932897
0,1971-11-30,110.40085452863259,106.01278946375588,102.74543392186791
0,1971-12-31,112.64288991112694,107.47984612069723,112.13119870151795
0,1972-01-31,111.0544469536747,108.2175030474587,115.12080998008221
0,1972-02-29,118.1158616174501,109.33288070288438,118.1806848535025
0,1972-03-30,117.97538949186314,110.74135601008446,120.95556089452555
0,1972-04-28,117.74479259688218,111.56898413227337,122.71053183659512
0,1972-05-31,124.88932891675691,113.00653043678113,124.36276046139383
0,1972-06-30,128.36701672023767,114.53846397777167,123.76831932175237
0,1972-07-31,129.91897446832854,116.39589401055323,126.0392313206443
0,1972-08-31,124.36790246538332,117.73183151550562,128.78750958518827
0,1972-09-29,125.33092290909408,118.89303237024828,127.79154035819597
0,1972-10-31,125.13899306022941,120.29122654085641,129.24486374866478
0,1972-11-30,119.9822042602971,121.24860580910918,131.13167268774762
0,1972-12-29,126.37844080579784,122.65354177297549,131.21239722832914
0,1973-01-31,130.42097400304624,124.35037313333177,128.07510870792476
