,0
arith mean,-0.0048809649735121665
arith mean (ann),-0.058571579682146
geomean mean,-0.005877175645893629
geomean mean (ann),-0.06829046493456659
sigma,0.0445208503025171
sigma (ann),0.1542247494402557
avg drawdown,0.8195238719651282
max drawdown,0.9777184487924387
alpha,-0.0044805232429072275
alpha SE,0.001787313621389572
alpha (ann),-0.05376627891488673
alpha SE (ann),0.021447763456674863
beta,-0.06460676582704512
betaSE,0.03860949668825291
Sharpe ratio,-0.10963323791765514
Sharpe ratio (ann),-0.3797806765433309
information ratio,-0.10063876166924668
information ratio (ann),-0.34862289684390096
